"Emissions to air on Dutch territory; road traffic"
"";"Subjects";"Emissions";"Emissions";"Emissions"
"";"Subjects";"CO2 emission";"N2O emission";"CH4 emission"
"";"Subjects";"Total";"Total";"Total"
"Sources";"Periods";"mln kgs";"mln kgs";"mln kgs"
"Road traffic, total";"1980";"19980";"0.53";"9.91"
"Road traffic, total";"1985";"20901";"0.58";"8.68"
"Road traffic, total";"1990";"23978";"0.31";"7.61"
"Road traffic, total";"1991";"24104";"0.41";"6.44"
"Road traffic, total";"1992";"25274";"0.53";"6.13"
"Road traffic, total";"1993";"25212";"0.61";"5.61"
"Road traffic, total";"1994";"25580";"0.70";"5.27"
"Road traffic, total";"1995";"25568";"0.76";"4.99"
"Road traffic, total";"1996";"25834";"0.79";"4.74"
"Road traffic, total";"1997";"26336";"0.81";"4.45"
"Road traffic, total";"1998";"26996";"0.82";"4.18"
"Road traffic, total";"1999";"28302";"0.84";"3.94"
"Road traffic, total";"2000";"28293";"0.87";"3.58"
"Road traffic, total";"2001";"28584";"0.86";"3.43"
"Road traffic, total";"2002";"28931";"0.84";"3.34"
"Road traffic, total";"2003";"29259";"0.82";"3.24"
"Road traffic, total";"2004";"29898";"0.81";"3.12"
"Road traffic, total";"2005";"29910";"0.77";"3.00"
"Road traffic, total";"2006";"29930";"0.74";"2.90"
"Road traffic, total";"2007";"30116";"0.75";"2.93"
"Road traffic, total";"2008";"30117";"0.76";"2.87"
"Road traffic, total";"2009";"29752";"0.76";"2.76"
"Road traffic, total";"2010";"29958";"0.76";"2.68"
"Road traffic, total";"2011";"29736";"0.76";"2.59"
"Road traffic, total";"2012";"29314";"0.75";"2.49"
"Road traffic, total";"2013";"28706";"0.75";"2.44"
"Road traffic, total";"2014";"28588";"0.73";"2.36"
"Road traffic, total";"2015";"28564";"0.75";"2.31"
"Road traffic, total";"2016";"29705";"0.76";"2.32"
"Road traffic, total";"2017*";"30297";"0.78";"2.33"
"Passenger cars";"1980";"13134";"0.31";"7.21"
"Passenger cars";"1985";"13996";"0.34";"6.59"
"Passenger cars";"1990";"15548";"0.24";"5.26"
"Passenger cars";"1991";"15429";"0.32";"4.40"
"Passenger cars";"1992";"16120";"0.43";"4.12"
"Passenger cars";"1993";"15917";"0.49";"3.67"
"Passenger cars";"1994";"16344";"0.57";"3.40"
"Passenger cars";"1995";"16161";"0.63";"3.21"
"Passenger cars";"1996";"16418";"0.65";"3.04"
"Passenger cars";"1997";"16714";"0.66";"2.79"
"Passenger cars";"1998";"17076";"0.66";"2.57"
"Passenger cars";"1999";"17712";"0.66";"2.43"
"Passenger cars";"2000";"17820";"0.69";"2.21"
"Passenger cars";"2001";"17999";"0.68";"2.17"
"Passenger cars";"2002";"18302";"0.67";"2.16"
"Passenger cars";"2003";"18566";"0.65";"2.15"
"Passenger cars";"2004";"19042";"0.64";"2.14"
"Passenger cars";"2005";"18942";"0.60";"2.06"
"Passenger cars";"2006";"18981";"0.57";"2.01"
"Passenger cars";"2007";"18987";"0.54";"2.01"
"Passenger cars";"2008";"18737";"0.52";"1.99"
"Passenger cars";"2009";"18538";"0.49";"1.93"
"Passenger cars";"2010";"18680";"0.46";"1.89"
"Passenger cars";"2011";"18681";"0.43";"1.85"
"Passenger cars";"2012";"18524";"0.39";"1.79"
"Passenger cars";"2013";"18354";"0.39";"1.77"
"Passenger cars";"2014";"18300";"0.35";"1.73"
"Passenger cars";"2015";"18069";"0.35";"1.70"
"Passenger cars";"2016";"18714";"0.33";"1.72"
"Passenger cars";"2017*";"19058";"0.34";"1.75"
"Motorcycles";"1980";"130";"0.00";"0.25"
"Motorcycles";"1985";"104";"0.00";"0.19"
"Motorcycles";"1990";"97";"0.00";"0.08"
"Motorcycles";"1991";"114";"0.00";"0.09"
"Motorcycles";"1992";"137";"0.00";"0.11"
"Motorcycles";"1993";"156";"0.00";"0.12"
"Motorcycles";"1994";"168";"0.00";"0.13"
"Motorcycles";"1995";"178";"0.00";"0.14"
"Motorcycles";"1996";"197";"0.00";"0.15"
"Motorcycles";"1997";"206";"0.00";"0.16"
"Motorcycles";"1998";"214";"0.00";"0.17"
"Motorcycles";"1999";"224";"0.00";"0.17"
"Motorcycles";"2000";"235";"0.00";"0.17"
"Motorcycles";"2001";"245";"0.00";"0.17"
"Motorcycles";"2002";"260";"0.00";"0.18"
"Motorcycles";"2003";"269";"0.00";"0.19"
"Motorcycles";"2004";"276";"0.00";"0.19"
"Motorcycles";"2005";"281";"0.00";"0.20"
"Motorcycles";"2006";"285";"0.00";"0.19"
"Motorcycles";"2007";"290";"0.01";"0.19"
"Motorcycles";"2008";"296";"0.01";"0.19"
"Motorcycles";"2009";"301";"0.01";"0.19"
"Motorcycles";"2010";"303";"0.01";"0.18"
"Motorcycles";"2011";"303";"0.01";"0.18"
"Motorcycles";"2012";"302";"0.01";"0.17"
"Motorcycles";"2013";"297";"0.01";"0.17"
"Motorcycles";"2014";"292";"0.00";"0.16"
"Motorcycles";"2015";"287";"0.00";"0.16"
"Motorcycles";"2016";"289";"0.00";"0.15"
"Motorcycles";"2017*";"263";"0.00";"0.13"
"Mopeds";"1980";"101";"0.00";"0.58"
"Mopeds";"1985";"90";"0.00";"0.51"
"Mopeds";"1990";"217";"0.00";"1.25"
"Mopeds";"1991";"165";"0.00";"0.96"
"Mopeds";"1992";"163";"0.00";"0.96"
"Mopeds";"1993";"162";"0.00";"0.96"
"Mopeds";"1994";"165";"0.00";"0.98"
"Mopeds";"1995";"163";"0.00";"0.97"
"Mopeds";"1996";"163";"0.00";"0.97"
"Mopeds";"1997";"168";"0.00";"0.99"
"Mopeds";"1998";"170";"0.00";"0.99"
"Mopeds";"1999";"165";"0.00";"0.91"
"Mopeds";"2000";"160";"0.00";"0.83"
"Mopeds";"2001";"156";"0.00";"0.75"
"Mopeds";"2002";"151";"0.00";"0.69"
"Mopeds";"2003";"144";"0.00";"0.62"
"Mopeds";"2004";"127";"0.00";"0.51"
"Mopeds";"2005";"129";"0.00";"0.49"
"Mopeds";"2006";"134";"0.00";"0.46"
"Mopeds";"2007";"166";"0.00";"0.51"
"Mopeds";"2008";"181";"0.00";"0.50"
"Mopeds";"2009";"195";"0.00";"0.47"
"Mopeds";"2010";"207";"0.00";"0.46"
"Mopeds";"2011";"211";"0.00";"0.43"
"Mopeds";"2012";"212";"0.00";"0.41"
"Mopeds";"2013";"212";"0.00";"0.40"
"Mopeds";"2014";"214";"0.00";"0.38"
"Mopeds";"2015";"217";"0.00";"0.37"
"Mopeds";"2016";"220";"0.00";"0.36"
"Mopeds";"2017*";"240";"0.00";"0.37"
"Delivery vans";"1980";"1177";"0.04";"0.69"
"Delivery vans";"1985";"1388";"0.06";"0.54"
"Delivery vans";"1990";"2198";"0.00";"0.48"
"Delivery vans";"1991";"2251";"0.01";"0.45"
"Delivery vans";"1992";"2460";"0.02";"0.42"
"Delivery vans";"1993";"2682";"0.03";"0.38"
"Delivery vans";"1994";"2718";"0.04";"0.32"
"Delivery vans";"1995";"2728";"0.05";"0.26"
"Delivery vans";"1996";"2830";"0.06";"0.22"
"Delivery vans";"1997";"3040";"0.07";"0.18"
"Delivery vans";"1998";"3319";"0.07";"0.16"
"Delivery vans";"1999";"3652";"0.08";"0.14"
"Delivery vans";"2000";"3691";"0.09";"0.14"
"Delivery vans";"2001";"3957";"0.09";"0.14"
"Delivery vans";"2002";"4014";"0.09";"0.13"
"Delivery vans";"2003";"4119";"0.09";"0.12"
"Delivery vans";"2004";"4292";"0.09";"0.11"
"Delivery vans";"2005";"4341";"0.09";"0.10"
"Delivery vans";"2006";"4180";"0.09";"0.09"
"Delivery vans";"2007";"4208";"0.09";"0.09"
"Delivery vans";"2008";"4281";"0.09";"0.08"
"Delivery vans";"2009";"4160";"0.08";"0.07"
"Delivery vans";"2010";"4177";"0.08";"0.06"
"Delivery vans";"2011";"4100";"0.08";"0.06"
"Delivery vans";"2012";"3989";"0.08";"0.05"
"Delivery vans";"2013";"3902";"0.08";"0.05"
"Delivery vans";"2014";"3893";"0.08";"0.04"
"Delivery vans";"2015";"3966";"0.08";"0.04"
"Delivery vans";"2016";"4139";"0.08";"0.05"
"Delivery vans";"2017*";"4290";"0.09";"0.04"
"Lorries";"1980";"2953";"0.10";"0.61"
"Lorries";"1985";"2794";"0.10";"0.35"
"Lorries";"1990";"3020";"0.03";"0.21"
"Lorries";"1991";"3134";"0.04";"0.22"
